"order_id","order_date","total_items","total_quantity","total_order_value","total_discount","bill_amount"
"ORD20250520_567533","2025-05-20","4","16","6120.0","0.0","6120.0"
"ORD20250520_567529","2025-05-20","2","6","1481.0","0.2","1332.9"
"ORD20250520_567527","2025-05-20","3","11","3904.0","0.0","3904.0"
"ORD20250520_567526","2025-05-20","3","8","3557.0","0.6000000000000001","2845.6"
"ORD20250520_567536","2025-05-20","3","8","2860.0","0.0","2860.0"
"ORD20250520_567524","2025-05-20","3","6","1957.0","0.0","1957.0"
"ORD20250520_567525","2025-05-20","4","13","4064.0","0.0","4064.0"
"ORD20250520_567528","2025-05-20","4","14","4299.0","0.8","3439.2"
"ORD20250520_567535","2025-05-20","3","12","2688.0","0.30000000000000004","2419.2"
"ORD20250520_567534","2025-05-20","3","10","3800.0","0.0","3800.0"
"ORD20250520_567530","2025-05-20","3","7","2530.0","0.36","2226.4"
"ORD20250520_567532","2025-05-20","2","6","1998.0","0.2","1798.2"
"ORD20250520_567531","2025-05-20","2","7","2415.0","0.24","2125.2"
"ORD20250519_567353","2025-05-19","1","4","3120.0","0.0","3120.0"
"ORD20250519_567522","2025-05-19","2","6","2100.0","0.0","2100.0"
"ORD20250519_567435","2025-05-19","2","6","3600.0","0.0","3600.0"
"ORD20250519_567518","2025-05-19","3","11","4506.0","0.36","3965.28"
"ORD20250519_567348","2025-05-19","1","3","1350.0","0.0","1350.0"
"ORD20250519_567502","2025-05-19","1","2","500.0","0.1","450.0"
"ORD20250519_567442","2025-05-19","1","1","370.0","0.0","370.0"
"ORD20250519_567505","2025-05-19","2","7","2760.0","0.24","2428.8"
"ORD20250519_567339","2025-05-19","3","10","5120.0","0.0","5120.0"
"ORD20250519_567501","2025-05-19","1","2","500.0","0.0","500.0"
"ORD20250519_567445","2025-05-19","2","9","3300.0","0.0","3300.0"
"ORD20250519_567504","2025-05-19","2","5","3080.0","0.0","3080.0"
"ORD20250519_567337","2025-05-19","3","6","1765.0","0.0","1765.0"
"ORD20250519_567498","2025-05-19","3","13","4801.0","0.36","4224.88"
