"year_month","total_orders","total_pizzas_sold","total_revenue"
"2022-01","14037","149117","1.4651395235999984E8"
"2022-02","11936","120997","1.2155536181999998E8"
"2022-03","13976","154420","1.4989078005999988E8"
"2022-04","14033","159981","1.5498516369999987E8"
"2022-05","14835","170904","1.628585082599998E8"
"2022-06","12941","138659","1.3582820768E8"
"2022-07","13996","152780","1.487368289800001E8"
"2022-08","15916","192447","1.796680166799996E8"
"2022-09","12744","130502","1.3034895535999972E8"
"2022-10","15890","199287","1.847391174000002E8"
"2022-11","13891","151268","1.4660033228000027E8"
"2022-12","13664","147345","1.4287772975999978E8"
"2023-01","13751","144639","1.406467871399999E8"
"2023-02","12246","132757","1.2983059267999998E8"
"2023-03","13732","145005","1.4041901314E8"
"2023-04","14606","173453","1.6509090022000027E8"
"2023-05","13629","153608","1.4737105840000054E8"
"2023-06","13815","155390","1.4997179586000043E8"
"2023-07","13844","150956","1.4733507551999992E8"
"2023-08","14186","153808","1.4853418230000064E8"
"2023-09","15530","187839","1.7838846662000033E8"
"2023-10","14523","158721","1.5339548584000024E8"
"2023-11","14211","162968","1.5441120765999973E8"
"2023-12","14311","155127","1.5280513795999977E8"
"2024-01","13153","140521","1.3763992247999972E8"
"2024-02","12288","124169","1.2348480315999995E8"
"2024-03","15069","177184","1.6924276392000023E8"
"2024-04","13633","152090","1.469014812999997E8"
"2024-05","14173","158702","1.5331096761999997E8"
"2024-06","14596","173715","1.6549737040000018E8"
"2024-07","13490","140649","1.386365812000001E8"
"2024-08","15472","177909","1.708935742000004E8"
"2024-09","13897","154874","1.4854809438000005E8"
"2024-10","13817","152089","1.465148804999997E8"
"2024-11","14561","173248","1.6538320573999998E8"
"2024-12","13799","145756","1.4310463584000033E8"
"2025-01","13387","145722","1.4284473723999953E8"
"2025-02","12593","134757","1.3216977391999975E8"
"2025-03","14502","162793","1.5672196146000013E8"
"2025-04","13542","150707","1.4515444599999988E8"
"2025-05","9321","110344","1.0446655062000015E8"
,"2951","29569","446.52"
