"pizza_name","total_units_sold","total_revenue"
"loaded","1134000","4.35310178E8"
"extravaganza","631390","3.8252022E8"
"tandoori","946804","3.53856086E8"
"farmhouse","1328332","3.35526225E8"
"peppyPanner","1011920","3.2708912E8"
"margherita","315900","1.11565895E8"
"onion","505455","1.0218972E8"
"mexican","252198","1.0187136E8"
"paradise","191208","8.6955165E7"
"2025-05-16","7173","4.1724921E7"
"2025-05-18","6753","3.7409042E7"
"2025-05-17","6751","3.6399708E7"
"2025-05-15","2308","8328217.0"
"2025-05-14","2205","7802348.0"
"2025-05-19","2130","7674604.0"
"2025-05-13","2125","7301005.0"
"2025-05-20","124","442705.0"
