pizza_name,pizza_size,quantity_by_size
extravaganza,L,189351
extravaganza,M,315385
extravaganza,S,126654
farmhouse,L,399735
farmhouse,M,663228
farmhouse,S,265369
loaded,L,339949
loaded,M,567972
loaded,S,226079
margherita,L,94303
margherita,M,158019
margherita,S,63578
mexican,L,75820
mexican,M,125714
mexican,S,50664
onion,L,151500
onion,M,254064
onion,S,99891
paradise,L,58031
paradise,M,94718
paradise,S,38459
peppyPanner,L,304345
peppyPanner,M,504900
peppyPanner,S,202675
tandoori,L,283510
tandoori,M,474571
tandoori,S,188723
